SZLTDEP  Index,,,SZRAFCRC Index,,,SZCPIYOY Index,,,SZPUI    Index,,,SZRSRYOY Index,,
ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN
20190613,-0.75,-0.75,20101006,215300,432,20100211,1,0.8,20100201,56,55.6,20100308,4.4,2.3
20190919,-0.75,-0.75,20101104,211900,422,20100309,0.9,1,20100301,57.4,56,20100407,3.1,2.8
20191212,-0.75,-0.75,20101206,212400,423,20100406,1.4,1.4,20100401,65.5,59,20100507,4.5,1.8
20200319,-0.75,-0.75,20110106,202600,428.25,20100506,1.4,1.3,20100503,65.9,64.5,20100602,1.3,0.9
20200618,-0.75,-0.75,20110204,207872,427,20100608,1.1,1.2,20100601,66.4,64.4,20100705,3.8,0
20200924,-0.75,-0.75,20110304,205700,427,20100706,0.5,0.9,20100701,65.7,65.7,20100802,0.9,0.2
20201217,-0.75,-0.75,20110406,206200,435,20100803,0.4,0.7,20100802,66.9,65,20100902,4.8,1.1
20210325,-0.75,-0.75,20110505,199888,440.5,20100903,0.3,0.4,20100901,61.4,65.8,20101001,0.5,4.5
20210617,-0.75,-0.75,20110606,193800,436,20101005,0.3,0.3,20101001,59.7,60.7,20101103,3.8,3.8
20210923,-0.75,-0.75,20110706,196000,431,20101104,0.2,0.3,20101101,59.2,59.3,20101202,3.5,3.4
20211216,-0.75,-0.75,20110805,182100,433.2,20101203,0.2,0.1,20101201,61.8,59.5,20110110,2.5,2.5
20220324,-0.75,-0.75,20110906,253400,432.5,20110106,0.5,0.4,20110103,59.6,62,20110201,-0.4,1.5
20220616,-0.25,0.5,20111006,282400,434,20110210,0.3,0.6,20110201,60.5,59.2,20110303,-2.6,2.7
20220922,0.5,1,20111104,242700,435.05,20110309,0.5,0.4,20110301,63.5,60.9,20110401,1.5,1.7
20221215,1,1.5,20111206,229300,435000,20110406,1,0.5,20110401,59.3,62.5,20110502,-0.2,1.9
20230323,1.5,1.75,20120106,254200,435800,20110510,0.3,0.6,20110502,58.4,59.8,20110601,7.5,0.8
20230622,1.75,2,20120207,227212,436000,20110607,0.4,0.3,20110601,59.2,57.5,20110704,-4.1,-2
20230921,1.75,1.75,20120307,224900,434500,20110707,0.6,0.7,20110701,53.4,57.8,20110802,7.4,-1.7
20231214,1.75,1.75,20120405,237500,438400,20110805,0.5,0.7,20110802,53.5,52.5,20110901,1.9,-2.2
20240321,1.5,,20120507,235600,445000,20110906,0.2,0.3,20110901,51.7,51,20111003,-1.9,-2.2
,,,20120607,303800,455750,20111006,0.5,0.3,20111003,48.2,50.5,20111031,-0.9,-0.7
,,,20120706,364900,457500,20111107,-0.1,0.2,20111101,46.9,47.7,20111202,-0.2,0.3
,,,20120807,406500,465500,20111206,-0.5,-0.3,20111201,44.8,46.6,20120109,1.8,1.4
,,,20120907,418400,472000,20120106,-0.7,-0.6,20120103,50.7,45.4,20120201,0.6,0
,,,20121005,429300,508900,20120210,-0.8,-0.8,20120201,47.3,51.2,20120305,4.4,1.7
,,,20121107,424400,523000,20120308,-0.9,-1,20120301,49,48.5,20120402,0.8,-0.1
,,,20121207,424800,524500,20120405,-1,-1.1,20120402,51.1,49.5,20120504,4.2,-0.6
,,,20130107,427200,515700,20120507,-1,-0.9,20120502,46.9,51,20120601,0.1,-0.6
,,,20130207,427000,554000,20120607,-1,-1,20120601,45.4,47.4,20120702,6.2,0
,,,20130307,427700,621000,20120706,-1.1,-1,20120702,48.1,45,20120802,3.7,0.4
,,,20130405,438300,630000,20120807,-0.7,-0.8,20120802,48.6,47,20120903,3.2,-0.4
,,,20130507,433645,629000,20120905,-0.5,-0.4,20120903,46.7,49.1,20121001,5.9,-0.4
,,,20130607,441400,649000,20121008,-0.4,-0.4,20121001,43.6,47.5,20121101,5.4,-0.8
,,,20130705,434900,646100,20121107,-0.2,-0.2,20121101,46.1,44.7,20121203,2.7,
,,,20130807,434900,674000,20121206,-0.4,-0.1,20121203,48.5,47,20130116,2.9,
,,,20130906,434200,690500,20130111,-0.4,-0.3,20130103,49.5,48.4,20130208,5.1,
,,,20131007,432400,695000,20130212,-0.3,-0.3,20130201,52.5,50.5,20130311,1.9,
,,,20131107,434660,713100,20130308,-0.3,-0.3,20130301,50.8,52.1,20130409,2.4,
,,,20131206,435700,745000,20130409,-0.6,-0.5,20130402,48.3,50.4,20130513,-0.9,
,,,20140107,435200,735000,20130508,-0.6,-0.5,20130502,50.2,49,20130610,3.3,
,,,20140207,437700,735788,20130606,-0.5,-0.6,20130603,52.2,50.8,20130709,1.8,
,,,20140307,433500,750000,20130705,-0.1,-0.4,20130701,51.9,52.4,20130812,2.3,
,,,20140407,437900,750000,20130807,0,-0.1,20130802,57.4,52.4,20130909,0.8,
,,,20140507,438900,731250,20130906,0,0,20130902,54.6,56,20131008,2.4,
,,,20140606,444350,740550,20131008,-0.1,-0.1,20131001,55.3,54.9,20131108,1,
,,,20140707,449550,758300,20131105,-0.3,-0.1,20131101,54.2,55.2,20131209,1.2,
,,,20140807,453391,,20131206,0.1,-0.1,20131202,56.5,54.4,20140115,4.2,
,,,20140905,453800,,20140110,0.1,0.2,20140103,53.9,56.3,20140207,2.3,
,,,20141007,462194,,20140212,0.1,0.1,20140203,56.1,55,20140310,0.3,
,,,20141107,460427,,20140307,-0.1,0,20140303,57.6,55.4,20140408,1,
,,,20141205,462395,,20140407,0,-0.1,20140401,54.4,56.5,20140512,3,
,,,20150107,495100,,20140508,0,0.1,20140502,55.8,55.2,20140610,0.4,
,,,20150206,498400,,20140606,0.2,0.1,20140602,52.5,55.5,20140708,-0.6,
,,,20150306,509300,,20140708,0,0.2,20140701,54,52.3,20140811,3.4,
,,,20150407,522323,,20140806,0,0,20140804,54.3,53.1,20140908,-0.6,
,,,20150507,521888,,20140908,0.1,0,20140901,52.9,53.7,20141007,1.9,
,,,20150605,517500,,20141007,-0.1,0,20141001,50.4,52,20141107,0.3,
,,,20150707,516240,,20141105,0,-0.1,20141103,55.3,51.3,20141208,0.3,
,,,20150807,531820,,20141208,-0.1,-0.1,20141201,52.1,53.1,20150116,-1.2,
,,,20150907,540400,,20150109,-0.3,-0.2,20150105,54,52.8,20150206,2.2,
,,,20151007,541540,,20150210,-0.5,-0.6,20150202,48.2,50.6,20150316,-0.3,
,,,20151106,550900,,20150306,-0.8,-0.6,20150302,47.3,47.3,20150417,-2.7,
,,,20151207,562718,,20150408,-0.9,-1.1,20150401,47.9,47.5,20150518,-2.8,
,,,20160107,559682,,20150508,-1.1,-0.9,20150504,47.9,48.2,20150615,1.6,
,,,20160205,575420,,20150609,-1.2,-1.3,20150601,49.4,47.8,20150716,-1.8,
,,,20160307,571100,,20150706,-1,-1.2,20150701,50,49.9,20150817,-0.9,
,,,20160407,575831,,20150805,-1.3,-1,20150803,48.7,50.5,20150914,-0.1,
,,,20160506,587600,,20150904,-1.4,-1.4,20150901,52.2,49.8,20151001,-0.3,
,,,20160607,602063,,20151006,-1.4,-1.5,20151001,49.5,51.8,20151102,0.2,
,,,20160707,608811,,20151105,-1.4,-1.4,20151102,50.7,50.1,20151201,-0.8,
,,,20160805,615353,,20151204,-1.4,-1.3,20151201,49.7,50.8,20160111,-2.1,
,,,20160907,626620,,20160108,-1.3,-1.2,20160104,52.1,50.1,20160202,-1.6,
,,,20161007,628047,,20160211,-1.3,-1.3,20160201,50,51.1,20160301,0.2,
,,,20161107,630343,,20160308,-0.8,-1.1,20160301,51.6,49.6,20160401,-0.2,
,,,20161207,647994,,20160408,-0.9,-0.9,20160401,53.2,51.1,20160502,-1.3,
,,,20170106,645330,,20160509,-0.4,-0.7,20160502,54.7,52.9,20160601,-1.9,
,,,20170207,643668,,20160608,-0.4,-0.4,20160601,55.8,54,20160701,-1.6,
,,,20170307,668180,,20160707,-0.4,-0.5,20160701,51.6,55.3,20160802,-3.9,
,,,20170407,683181,,20160808,-0.2,-0.3,20160802,50.1,51.9,20160901,-2.2,
,,,20170505,695943,,20160906,-0.1,-0.1,20160901,51,50.6,20161003,-3,
,,,20170607,693727,,20161006,-0.2,0,20161003,53.2,51.8,20161101,-2.3,
,,,20170707,693482,,20161107,-0.2,0,20161101,54.7,53.9,20161201,-0.5,
,,,20170807,714330,,20161206,-0.3,-0.2,20161201,56.6,54.4,20170109,0.9,
,,,20170907,716700,,20170105,0,0,20170103,56,56,20170202,-3.5,
,,,20171006,724415,,20170214,0.3,0.3,20170201,54.6,55.9,20170302,-1.4,
,,,20171107,741532,,20170308,0.6,0.4,20170301,57.8,55.5,20170403,0.6,
,,,20171207,738168,,20170406,0.6,0.5,20170403,58.6,58,20170501,2.1,
,,,20180109,743942,,20170511,0.4,0.5,20170502,57.4,58.2,20170601,-1.2,
,,,20180207,731400,,20170608,0.5,0.3,20170601,55.6,57.8,20170703,-0.3,
,,,20180307,732761,,20170706,0.2,0.3,20170703,60.1,56.3,20170802,1.5,
,,,20180406,737800,,20170807,0.3,0.3,20170802,60.9,58.5,20170901,-0.7,
,,,20180507,757104,,20170905,0.5,0.4,20170901,61.2,60.2,20171002,-0.2,
,,,20180607,740874,,20171005,0.7,0.6,20171002,61.7,60.5,20171102,-0.4,
,,,20180706,748517,,20171106,0.7,0.7,20171101,62,61.3,20171130,-3,
,,,20180807,749735,,20171206,0.8,0.8,20171201,65.1,62.5,20180109,-0.2,
,,,20180907,730908,,20180108,0.8,0.8,20180103,65.2,64.5,20180201,0.6,
,,,20181005,739701,,20180212,0.7,0.8,20180201,65.3,64.2,20180301,-1.4,
,,,20181107,753258,,20180306,0.6,0.6,20180301,65.5,64,20180403,-0.2,
,,,20181207,748763,,20180405,0.8,0.7,20180403,60.3,64.3,20180502,-1.8,
,,,20190109,728962,,20180507,0.8,0.9,20180502,63.6,59.8,20180531,2.2,
,,,20190207,741474,,20180606,1,0.9,20180601,62.4,62.5,20180702,-0.1,
,,,20190307,738751,,20180705,1.1,1.1,20180702,61.6,61,20180802,0.3,
