GRCP20YY Index,,,GRIORTMM Index,,,EURR002W Index,,,MPMIFRSA Index,,,ITCPEY   Index,,
ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN
20100209,0.8,0.8,20100305,4.3,1.3,20100114,1,1,20100203,50.3,59,20100223,1.3,1.4
20100310,0.6,0.4,20100407,0,-0.5,20100204,1,1,20100303,56.6,56.4,20100316,1.1,1.1
20100413,1.1,1.1,20100506,5,1.4,20100304,1,1,20100407,57.8,54.8,20100416,1.4,1.4
20100511,1,1,20100607,2.8,-0.4,20100408,1,1,20100505,56.8,54.2,20100514,1.6,1.6
20100610,1.2,1.2,20100707,-0.5,0.3,20100408,1,1,20100603,56.3,58.9,20100616,1.6,1.6
20100709,0.9,0.9,20100805,3.2,1.4,20100506,1,1,20100705,56.2,60.5,20100714,1.5,1.4
20100810,1.2,1.1,20100907,-2.2,0.5,20100506,1,1,20100804,56.6,60,20100812,1.8,1.8
20100909,1,1,20101006,3.4,0.9,20100610,1,1,20100903,57.4,60.5,20100915,1.8,1.8
20101012,1.3,1.3,20101105,-4,0.4,20100610,1,1,20101005,57,60,20101015,1.6,1.6
20101109,1.3,1.3,20101207,1.6,1.9,20100708,1,1,20101104,53.1,57.5,20101116,2,2
20101209,1.5,1.5,20110106,5.2,1,20100708,1,1,20101203,55.5,54.8,20101216,1.9,1.8
20110114,1.7,1.7,20110207,-3.4,-1.5,20100805,1,1,20110105,57.4,54.1,20110114,2.1,2
20110211,2,1.9,20110308,2.9,2.5,20100902,1,1,20110203,58.9,57.1,20110223,1.9,2.4
20110311,2.1,2,20110406,2.4,0.5,20100902,1,1,20110303,58.3,60.8,20110316,2.1,2.1
20110412,2.1,2.2,20110505,-4,0.4,20101007,1,1,20110405,53.9,60.7,20110415,2.8,2.6
20110511,2.4,2.4,20110607,2.8,2,20101007,1.25,1.25,20110504,53.2,63.4,20110516,2.9,3
20110610,2.3,2.3,20110706,1.8,-0.5,20101104,1.25,1.25,20110603,51.2,62.8,20110616,3,3
20110712,2.3,2.3,20110804,1.8,-0.5,20101202,1.25,1.25,20110705,52.9,56.7,20110714,3,3
20110810,2.4,2.3,20110906,-2.8,-1.5,20101202,1.5,1.5,20110803,51.7,54.2,20110812,2.1,2.1
20110909,2.4,2.3,20111006,-1.4,0,20110113,1.5,1.5,20110905,49.3,56.1,20110915,2.3,2.2
20111013,2.6,2.4,20111104,-4.3,0.1,20110203,1.5,1.5,20111005,49.5,52.5,20111014,3.6,3.5
20111110,2.5,2.6,20111206,5.2,1,20110303,1.5,1.5,20111104,49.4,46,20111116,3.8,3.8
20111209,2.4,2.4,20120106,-4.8,-1.8,20110407,1.25,1.5,20111205,53.1,49.3,20111215,3.7,3.7
20120112,2.1,2.2,20120206,1.7,1,20110505,1,1,20120104,53.9,50.2,20120116,3.7,3.7
20120210,2.1,2,20120307,-2.7,0.6,20110609,1,1,20120203,54.6,51.7,20120222,3.4,3.4
20120309,2.3,2.1,20120404,0.3,1.5,20110707,1,1,20120305,52.5,50.3,20120313,3.4,3.4
20120413,2.1,2.2,20120507,2.2,0.5,20110804,1,1,20120404,48,50,20120413,3.8,3.8
20120511,2.1,2,20120605,-1.9,-1.1,20110908,1,1,20120504,47.1,46.4,20120514,3.7,3.8
20120613,1.9,2.1,20120705,0.6,0,20111006,1,1,20120605,46,45.2,20120613,3.5,3.5
20120711,1.7,1.8,20120807,-1.7,-0.8,20111103,1,1,20120704,44.4,47.3,20120713,3.6,3.6
20120810,1.7,1.7,20120906,0.5,0.3,20111208,0.75,0.75,20120803,45.2,50.2,20120810,3.6,3.7
20120912,2.1,2,20121005,-1.3,-0.5,20120112,0.75,0.75,20120905,45.4,50.2,20120913,3.3,3.5
20121011,2,2,20121106,-3.3,-0.4,20120209,0.75,0.5,20121003,45.7,46.1,20121012,3.4,3.4
20121109,2,2,20121206,3.9,1,20120308,0.75,0.75,20121106,45.4,46.2,20121113,2.8,2.8
20121212,1.9,1.9,20130108,-1.8,-1.4,20120404,0.75,0.75,20121205,48.4,46.1,20121213,2.6,2.6
20130115,2.1,2.1,20130206,0.8,0.7,20120503,0.75,0.75,20130104,48.3,46,20130115,2.6,2.6
20130220,1.7,1.7,20130307,-1.9,0.6,20120606,0.75,0.75,20130205,,43.6,20130222,2.4,2.4
20130312,1.5,1.5,20130405,2.3,1.1,20120705,0.75,0.75,20130305,,42.7,20130412,1.8,1.8
20130411,1.4,1.4,20130507,2.2,-0.5,20120802,0.75,0.75,20130404,,41.9,20130514,1.3,1.3
20130514,1.2,1.2,20130606,-2.3,-1,20120906,0.75,0.75,20130506,,44.1,20130612,1.3,1.3
20130612,1.5,1.5,20130705,-1.3,1.2,20121004,0.5,0.5,20130605,,44.3,20130712,1.4,1.4
20130710,1.8,1.8,20130806,3.8,1,20121108,0.5,0.5,20130703,,46.5,20130809,1.2,1.2
20130813,1.9,1.9,20130905,-2.7,-1,20121206,0.5,0.5,20130805,,48.3,20130912,1.2,1.2
20130911,1.5,1.5,20131008,-0.3,1.1,20130110,0.5,0.5,20130904,,47.7,20131011,0.9,0.9
20131011,1.4,1.4,20131106,3.3,0.5,20130207,0.5,0.5,20131003,,50.7,20131112,0.8,0.7
20131112,1.2,1.2,20131206,-2.2,-1,20130307,0.5,0.5,20131106,,50.2,20131212,0.7,0.6
20131211,1.3,1.3,20140108,2.1,1.5,20130404,0.25,0.5,20131204,,51,20140114,0.7,0.6
20140116,1.4,1.4,20140206,-0.5,0.2,20130502,0.25,0.25,20140106,,48.7,20140221,0.6,0.6
20140213,1.3,1.3,20140306,1.2,0.9,20130606,0.25,0.25,20140205,,48.6,20140313,0.4,0.5
20140314,1.2,1.2,20140404,0.6,0.2,20130704,0.25,0.25,20140305,,46.9,20140414,0.3,0.3
20140411,1,1,20140507,-2.8,0.3,20130801,0.25,0.25,20140403,,51.4,20140513,0.5,0.6
20140514,1.3,1.3,20140605,3.1,1.4,20130905,0.25,0.25,20140506,,50.3,20140613,0.4,0.4
20140613,0.9,0.9,20140704,-1.7,-1.1,20131002,0.25,0.25,20140604,,49.2,20140715,0.2,0.2
20140711,1,1,20140806,-3.2,0.9,20131107,0.15,0.1,20140703,,48.2,20140812,0,0
20140813,0.8,0.8,20140904,4.6,1.5,20131205,0.15,0.15,20140805,,50.4,20140912,-0.2,-0.2
20140911,0.8,0.8,20141006,-5.7,-2.5,20140109,0.15,0.15,20140903,,51.1,20141014,-0.1,-0.2
20141015,0.8,0.8,20141106,0.8,2.3,20140206,0.05,0.15,20141003,,49.4,20141113,0.2,0.2
20141113,0.8,0.8,20141205,2.5,0.5,20140306,0.05,0.05,20141105,,48.1,20141212,0.3,0.2
20141211,0.6,0.6,20150108,-2.4,-0.8,20140403,0.05,0.05,20141203,,48.8,20150114,-0.1,-0.1
20150116,0.2,0.2,20150205,4.2,1.5,20140508,0.05,0.05,20150106,,49.8,20150220,-0.5,-0.4
20150212,-0.4,-0.3,20150305,-3.9,-1,20140605,0.05,0.05,20150204,,49.5,20150313,0.1,0.1
20150312,0.1,0.1,20150408,-0.9,1.5,20140703,0.05,0.05,20150304,,53.4,20150414,0,-0.1
20150415,0.3,0.3,20150507,0.9,1.5,20140807,0.05,0.05,20150407,,52.8,20150513,-0.1,0
20150513,0.5,0.4,20150605,1.4,0.5,20140904,0.05,0.05,20150506,,50.8,20150615,0.2,0.2
20150616,0.7,0.7,20150706,-0.2,-0.4,20141002,0.05,0.05,20150603,,51.6,20150714,0.2,0.2
20150714,0.3,0.3,20150806,2,0.3,20141106,0.05,0.05,20150703,,54.1,20150811,0.3,0.4
20150813,0.2,0.2,20150904,-1.4,-0.6,20141204,0.05,0.05,20150805,,52,20150914,0.4,0.5
20150911,0.2,0.2,20151006,-1.8,0.5,20150122,0.05,0.05,20150903,,51.8,20151014,0.2,0.2
20151013,0,0,20151105,-1.7,1,20150305,0.05,0.05,20151005,,51.2,20151113,0.3,0.3
20151112,0.3,0.3,20151204,1.8,1.2,20150415,0,0.05,20151104,,52.3,20151214,0.2,0.1
20151211,0.4,0.4,20160107,1.5,0.1,20150603,0,0,20151203,,51.3,20160115,0.1,0.1
20160119,0.3,0.3,20160205,-0.7,-0.5,20150716,0,0,20160106,,50,20160222,0.4,0.4
20160212,0.5,0.5,20160307,-0.1,-0.3,20150903,0,0,20160203,,50.6,20160315,-0.2,-0.2
20160311,0,0,20160405,-1.2,0.3,20151022,0,0,20160303,,49.8,20160414,-0.2,-0.3
20160412,0.3,0.3,20160509,1.9,0.6,20151203,0,0,20160405,,51.2,20160513,-0.4,-0.3
20160513,-0.1,-0.1,20160606,-2,-0.5,20160121,0,0,20160504,,50.8,20160614,-0.3,-0.3
20160610,0.1,0.1,20160706,0,1,20160310,0,0,20160603,,51.8,20160713,-0.2,-0.3
20160712,0.3,0.3,20160805,-0.4,0.5,20160421,0,0,20160705,,49.9,20160811,-0.2,-0.1
20160812,0.4,0.4,20160906,0.2,0.5,20160602,0,0,20160803,,50.3,20160914,-0.1,0
20160913,0.4,0.4,20161006,1,0.3,20160721,0,0,20160905,,52,20161014,0.1,0.1
20161013,0.7,0.7,20161107,-0.6,0.2,20160908,0,0,20161005,,54.1,20161114,-0.1,-0.1
20161111,0.8,0.8,20161206,4.9,0.6,20161020,0,0,20161104,,52.1,20161214,0.1,0.1
20161213,0.8,0.8,20170106,-2.5,-2.4,20161208,0,0,20161205,,52.6,20170116,0.5,0.5
20170118,1.7,1.7,20170206,5.2,0.7,20170119,0,0,20170104,,52.6,20170222,1,0.7
20170214,1.9,1.9,20170307,-7.4,-2.5,20170309,0,0,20170203,,53.9,20170315,1.6,1.6
20170314,2.2,2.2,20170406,3.4,4,20170427,0,0,20170303,,56.7,20170413,1.4,1.3
20170413,1.6,1.6,20170508,1,0.7,20170608,0,0,20170405,,58.5,20170515,2,2
20170512,2,2,20170607,-2.1,-0.3,20170720,0,0,20170504,,57.7,20170615,1.6,1.5
20170614,1.5,1.5,20170706,1,1.9,20170907,0,0,20170605,,58,20170714,1.2,1.2
20170713,1.6,1.6,20170804,1,0.5,20171026,0,0,20170705,,55.3,20170811,1.2,1.2
20170811,1.7,1.7,20170906,-0.7,0.2,20171214,0,0,20170803,,55.9,20170914,1.4,1.4
20170913,1.8,1.8,20171006,3.6,0.7,20180125,0,0,20170905,,55.5,20171013,1.3,1.3
20171013,1.8,1.8,20171106,1,-1.1,20180308,0,0,20171004,,57.1,20171114,1.1,1.1
20171114,1.6,1.6,20171206,0.5,-0.2,20180426,0,0,20171106,,57.4,20171214,1.1,1.1
20171213,1.8,1.8,20180108,-0.4,0,20180614,0,0,20171205,,60.2,20180116,1,1
20180116,1.7,1.7,20180206,3.8,0.7,20180726,0,0,20180104,,59.4,20180222,1.2,1.1
20180214,1.6,1.6,20180308,-3.9,-1.7,20180913,0,0,20180205,,59.3,20180316,0.5,0.7
20180314,1.4,1.4,20180405,0.3,1.5,20181025,0,0,20180305,,57.9,20180417,0.9,1.1
20180413,1.6,1.6,20180507,-0.9,0.5,20181213,0,0,20180405,,56.8,20180516,0.6,0.6
20180516,1.6,1.6,20180607,-2.5,0.8,20190124,0,0,20180504,,57.4,20180615,1,1.1
20180614,2.2,2.2,20180705,2.6,1.1,20190307,0,0,20180605,,54.3,20180717,1.4,1.5
20180712,2.1,2.1,20180806,-4,-0.5,20190410,0,0,20180704,,56.4,20180813,1.9,1.9
20180814,2,2,20180906,-0.9,1.8,20190606,0,0,20180803,,55.3,20180914,1.6,1.7
20180913,2,2,20181005,2,0.8,20190725,0,0,20180905,,55.7,20181016,1.5,1.6
20181012,2.3,2.3,20181106,0.3,-0.5,20190912,0,0,20181003,,54.3,20181116,1.7,1.7
20181113,2.5,2.5,20181206,0.3,-0.4,20191024,0,0,20181106,,55.6,20181214,1.6,1.7
20181213,2.3,2.3,20190107,-1,-0.1,20191212,0,0,20181205,,55,20190116,1.2,1.2
20190116,1.7,1.7,20190206,-1.6,0.3,20200123,0,0,20190104,,49.7,20190221,0.9,0.9
20190221,1.4,1.4,20190308,-2.6,0.5,20200312,0,0,20190205,,47.5,20190315,1.1,1.2
20190314,1.5,1.6,20190404,-4.2,0.3,20200430,0,0,20190305,,49.8,20190417,1.1,1.1
20190411,1.3,1.3,20190507,0.6,1.4,20200604,0,0,20190403,,48.7,20190516,1.1,1.2
20190514,2,2,20190606,0.3,0,20200716,0,0,20190506,,50.5,20190614,0.9,0.9
20190613,1.4,1.4,20190705,-2.2,-0.2,20200910,0,0,20190605,,51.7,20190716,0.8,0.8
20190711,1.6,1.6,20190806,2.5,0.5,20201029,0,0,20190703,,53.1,20190809,0.3,0.4
20190813,1.7,1.7,20190905,-2.7,-1.4,20201210,0,0,20190805,,52.2,20190916,0.5,0.5
20190912,1.4,1.4,20191007,-0.6,-0.3,20210121,0,0,20190904,,53.3,20191016,0.2,0.3
20191011,1.2,1.2,20191106,1.3,0.1,20210311,0,0,20191003,,51.6,20191115,0.2,0.2
20191113,1.1,1.1,20191205,-0.4,0.4,20210422,0,0,20191106,,52.9,20191216,0.2,0.4
20191212,1.1,1.1,20200108,-1.3,0.2,20210610,0,0,20191204,,52.9,20200117,0.5,0.5
20200116,1.5,1.5,20200206,-2.1,0.6,20210722,0,0,20200106,,52.4,20200221,0.4,0.5
20200213,1.7,1.7,20200306,5.5,1.3,20210909,0.5,0.25,20200205,,51.7,20200316,0.2,0.3
20200313,1.7,1.7,20200406,-1.4,-2.5,20211028,1.25,1.25,20200304,,52.6,20200415,0.1,0.1
20200416,1.4,1.4,20200506,-15.6,-10,20211216,2,2,20200403,,29,20200515,0.1,0.1
20200514,0.9,0.8,20200605,-25.8,-19.9,20220203,2.5,2.5,20200506,,10.4,20200615,-0.3,-0.2
20200616,0.6,0.6,20200706,10.4,15.4,20220310,3,3,20200603,,29.4,20200715,-0.4,-0.4
20200714,0.9,0.9,20200806,27.9,10.1,20220414,3.5,3.5,20200703,,50.3,20200812,0.8,0.9
20200813,-0.1,-0.1,20200904,2.8,5,20220609,3.75,3.75,20200805,,57.8,20200915,-0.5,-0.5
20200911,0,0,20201006,4.5,2.8,20220721,4,4,20200903,,51.9,20201016,-1,-0.9
20201013,-0.2,-0.2,20201105,0.5,2,20220908,4.25,4.25,20201005,,47.5,20201116,-0.6,-0.6
20201112,-0.2,-0.2,20201204,2.9,1.5,20221027,4.5,4.25,20201104,,46.5,20201215,-0.3,-0.3
20201211,-0.3,-0.3,20210107,2.3,-0.5,20221215,4.5,4.5,20201203,,38,20210118,-0.3,-0.3
20210119,-0.3,1,20210205,-1.9,-1,20230202,4.5,4.5,20210106,,49.2,20210219,0.7,0.5
20210210,1,1.3,20210305,1.4,0.5,20230316,4.5,4.5,20210203,,46.5,20210316,1,1
20210312,1.3,1.7,20210408,1.2,1.2,20230504,4.5,4.5,20210303,,43.6,20210415,0.6,0.6
20210415,1.7,2,20210506,3,1.5,20230615,4.5,4.5,20210407,,47.8,20210517,1,1
20210512,2,2.5,20210607,-0.2,0.5,20230727,,,20210505,,50.4,20210615,1.2,1.3
20210615,2.5,2.3,20210706,-3.7,0.9,20230914,,,20210603,,56.6,20210715,1.3,1.3
20210713,2.3,3.8,20210805,4.1,2,20231026,,,20210705,,57.4,20210811,1,0.9
20210811,3.8,3.9,20210906,3.4,-0.7,20231214,,,20210804,,57,20210915,2.5,2.6
20210910,3.9,4.1,20211006,-7.7,-2.2,20240125,,,20210903,,56.4,20211015,2.9,3
