UKIPIMOM Index,,,UKBRBASE Index,,,UKRPCJYR Index,,,UKUEMOM  Index,,,MPMIGBMA Index,,
ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN
20100310,-0.4,0.3,20100107,0.5,0.5,20100216,3.5,3.5,20100217,23.5,-10,20100201,60.9,53.9
20100408,1,0.5,20100204,0.5,0.5,20100323,3,3.1,20100317,-32.3,6,20100301,65.6,56.5
20100511,2,0.3,20100304,0.5,0.5,20100420,3.4,3.1,20100421,-32.9,-10,20100401,63.9,56.8
20100611,-0.4,0.4,20100408,0.5,0.5,20100518,3.7,3.5,20100512,-27.1,-20,20100504,60.4,57.5
20100708,0.7,0.4,20100506,0.5,0.5,20100615,3.4,3.5,20100616,-30.9,-20,20100601,60.3,57.9
20100806,-0.5,0.1,20100510,0.5,0.5,20100713,3.2,3.1,20100714,-20.8,-20,20100701,57.1,57.5
20100908,0.3,0.4,20100610,0.5,0.5,20100817,3.1,3.1,20100811,-3.8,-17,20100802,57.8,57
20101007,0.3,0.2,20100708,0.5,0.5,20100914,3.1,3,20100915,2.3,-3,20100901,58.1,57
20101109,0.4,0.4,20100805,0.5,0.5,20101012,3.1,3.1,20101013,5.3,4.5,20101001,57.9,53.8
20101207,-0.2,0.3,20100909,0.5,0.5,20101116,3.2,3.1,20101117,-3.7,6,20101101,57.3,53
20110113,0.4,0.5,20101007,0.5,0.5,20101214,3.3,3.2,20101215,-1.2,-3,20101201,58,54.7
20110210,0.5,0.5,20101104,0.5,0.5,20110118,3.7,3.4,20110119,-4.1,0,20110104,55.2,57.2
20110310,0.5,0.4,20101209,0.5,0.5,20110215,4,4,20110216,2.4,-3,20110201,55.8,58
20110406,-1.2,0.4,20110113,0.5,0.5,20110322,4.4,4.2,20110316,-10.2,1.25,20110301,54.6,61
20110512,0.3,0.8,20110210,0.5,0.5,20110412,4,4.4,20110413,0.7,-3,20110401,52.8,60.9
20110610,-1.7,0,20110310,0.5,0.5,20110517,4.5,4.1,20110518,12.4,0,20110503,52.1,57
20110707,0.9,1.1,20110407,0.5,0.5,20110614,4.5,4.5,20110615,19.6,6.5,20110601,47.3,54.1
20110809,0,0.4,20110505,0.5,0.5,20110712,4.2,4.5,20110713,24.5,15,20110701,48.4,52.3
20110907,-0.2,0.2,20110609,0.5,0.5,20110816,4.4,4.3,20110817,37.1,20,20110801,46.2,51
20111011,0.2,-0.2,20110707,0.5,0.5,20110913,4.5,4.5,20110914,20.3,35,20110901,46.5,49
20111108,0,0.1,20110804,0.5,0.5,20111018,5.2,4.9,20111012,17.5,24,20111003,45.3,48.5
20111207,-0.7,-0.3,20110908,0.5,0.5,20111115,5,5.1,20111116,5.3,21,20111101,47,50
20120112,-0.6,-0.1,20111006,0.5,0.5,20111213,4.8,4.8,20111214,3,13.65,20111201,49.3,47
20120209,0.5,0.2,20111110,0.5,0.5,20120117,4.2,4.2,20120118,1.2,7,20120103,47.9,47.3
20120309,-0.4,0.3,20111208,0.5,0.5,20120214,3.6,3.6,20120215,6.9,3,20120201,47.8,50
20120405,0.4,0.4,20120112,0.5,0.5,20120320,3.4,3.3,20120314,7.2,5,20120301,47.1,52
20120510,-0.3,-0.3,20120209,0.5,0.5,20120417,3.5,3.4,20120418,3.6,6,20120402,46.5,50.7
20120612,0,0.1,20120308,0.5,0.5,20120522,3,3.1,20120516,-13.7,5,20120501,45.3,51.5
20120710,1,-0.2,20120405,0.5,0.5,20120619,2.8,3,20120620,8.1,-4,20120601,43,49.7
20120807,-2.5,-3.5,20120510,0.5,0.5,20120717,2.4,2.8,20120718,6.1,5,20120702,44.3,46.5
20120907,2.9,1.5,20120607,0.5,0.5,20120814,2.6,2.3,20120815,-5.9,6,20120801,44.8,48.4
20121009,-0.5,-0.5,20120705,0.5,0.5,20120918,2.5,2.5,20120912,-15,0,20120903,47.2,46.1
20121106,-1.7,-0.6,20120802,0.5,0.5,20121016,2.2,2.2,20121017,-4,0,20121001,46.2,49
20121207,-0.8,0.8,20120906,0.5,0.5,20121113,2.7,2.4,20121114,10.1,0,20121101,47,48
20130111,0.3,0.8,20121004,0.5,0.5,20121218,2.7,2.7,20121212,-3,7,20121203,47.5,48
20130207,1.1,0.9,20121108,0.5,0.5,20130115,2.7,2.7,20130123,-12.1,0.5,20130102,50.3,49.1
20130312,-1.2,0.1,20121206,0.5,0.5,20130212,2.7,2.7,20130220,-12.5,-5.5,20130201,,51
20130409,1,0.4,20130110,0.5,0.5,20130319,2.8,2.8,20130320,-1.5,-5,20130301,,51
20130509,0.7,0.2,20130207,0.5,0.5,20130416,2.8,2.8,20130417,-7,0,20130402,,48.7
20130611,0.1,0,20130307,0.5,0.5,20130521,2.4,2.6,20130515,-7.3,-3,20130501,,48.5
20130709,0,0.2,20130404,0.5,0.5,20130618,2.7,2.6,20130612,-8.6,-5,20130603,,50.3
20130806,1.1,0.7,20130509,0.5,0.5,20130716,2.9,3,20130717,-21.2,-8,20130701,,51.4
20130906,0,0.2,20130606,0.5,0.5,20130813,2.8,2.8,20130814,-29.2,-15,20130801,,52.8
20131009,-1.1,0.4,20130704,0.5,0.5,20130917,2.7,2.7,20130911,-32.6,-21,20130902,,55
20131106,0.9,0.6,20130801,0.5,0.5,20131015,2.7,2.6,20131016,-41.7,-25,20131001,,57.5
20131210,0.4,0.4,20130905,0.5,0.5,20131112,2.2,2.5,20131113,-41.7,-30,20131101,,56.4
20140110,0,0.4,20131010,0.5,0.5,20131217,2.1,2.2,20131218,-36.7,-35,20131202,,56.1
20140207,0.4,0.6,20131107,0.5,0.5,20140114,2,2.1,20140122,-24,-32,20140102,,58.4
20140311,0.1,0.2,20131205,0.5,0.5,20140218,1.9,2,20140219,-27.6,-20,20140203,,57.3
20140408,0.9,0.3,20140109,0.5,0.5,20140325,1.7,1.7,20140319,-34.6,-25,20140303,,56.8
20140509,-0.1,-0.2,20140206,0.5,0.5,20140415,1.6,1.6,20140416,-30.4,-30,20140401,,56.7
20140610,0.4,0.4,20140306,0.5,0.5,20140520,1.8,1.7,20140514,-25.1,-30,20140501,,55.4
20140708,-0.7,0.3,20140410,0.5,0.5,20140617,1.5,1.7,20140611,-27.4,-25,20140602,,57
20140806,0.3,0.6,20140508,0.5,0.5,20140715,1.9,1.6,20140716,-36.3,-27,20140701,,56.8
20140909,0.5,0.2,20140605,0.5,0.5,20140819,1.6,1.8,20140813,-33.6,-30,20140801,,57.2
20141007,0,0,20140710,0.5,0.5,20140916,1.5,1.5,20140917,-37.2,-30,20140901,,55.1
20141106,0.6,0.4,20140807,0.5,0.5,20141014,1.2,1.4,20141015,-18.6,-35,20141001,,52.7
20141209,-0.1,0.2,20140904,0.5,0.5,20141118,1.3,1.2,20141112,-20.4,-20,20141103,,51.4
20150109,-0.1,0.2,20141009,0.5,0.5,20141216,1,1.2,20141217,-26.9,-20,20141201,,53
20150210,-0.2,-0.1,20141106,0.5,0.5,20150113,0.5,0.7,20150121,-29.7,-25,20150102,,53.6
20150311,-0.1,0.2,20141204,0.5,0.5,20150217,0.3,0.4,20150218,-38.6,-25,20150202,,52.7
20150410,0.1,0.3,20150108,0.5,0.5,20150324,0,0.1,20150318,-31,-30,20150302,,53.3
20150512,0.5,0,20150205,0.5,0.5,20150414,0,0,20150417,-20.7,-29.5,20150401,,54.4
20150610,0.4,0.1,20150305,0.5,0.5,20150519,-0.1,0,20150513,-12.6,-20,20150501,,54.6
20150707,0.4,-0.2,20150409,0.5,0.5,20150616,0.1,0.1,20150617,-6.5,-13.75,20150601,,52.5
20150806,-0.4,0.1,20150511,0.5,0.5,20150714,0,0,20150715,7,-9,20150701,,52.5
20150909,-0.4,0.1,20150604,0.5,0.5,20150818,0.1,0,20150812,-4.9,1,20150803,,51.5
20151007,1,0.3,20150709,0.5,0.5,20150915,0,0,20150916,1.2,-5,20150901,,52
20151106,-0.2,-0.1,20150806,0.5,0.5,20151013,-0.1,0,20151014,4.6,-2.15,20151001,,51.3
20151208,0.1,0.1,20150910,0.5,0.5,20151117,-0.1,-0.1,20151111,3.3,1.35,20151102,,51.3
20160112,-0.7,0,20151008,0.5,0.5,20151215,0.1,0.1,20151216,3.9,0.75,20151201,,53.6
20160210,-1.1,-0.1,20151105,0.5,0.5,20160119,0.2,0.2,20160120,-4.3,2.75,20160104,,52.8
20160309,0.3,0.4,20151210,0.5,0.5,20160216,0.3,0.3,20160217,-14.8,-3,20160201,,51.6
20160408,-0.3,0.1,20160114,0.5,0.5,20160322,0.3,0.4,20160316,-18,-9.1,20160301,,52.3
20160511,0.3,0.5,20160204,0.5,0.5,20160412,0.5,0.4,20160420,6.7,-10,20160401,,51.2
20160608,2,0,20160317,0.5,0.5,20160517,0.3,0.5,20160518,-2.4,5,20160503,,51.2
20160707,-0.5,-1,20160414,0.5,0.5,20160614,0.3,0.4,20160615,-0.4,0,20160601,,49.6
20160809,0.1,0.1,20160512,0.5,0.5,20160719,0.5,0.4,20160720,0.4,3.5,20160701,,50.1
20160907,0.1,-0.2,20160616,0.5,0.25,20160816,0.6,0.5,20160817,-8.6,9,20160801,,49.1
20161007,-0.4,0.1,20160714,0.25,0.25,20160913,0.6,0.7,20160914,2.4,1.8,20160901,,49
20161108,-0.4,0,20160804,0.25,0.25,20161018,1,0.9,20161019,0.7,3.15,20161003,,52.1
20161207,-1.3,0.2,20160915,0.25,0.25,20161115,0.9,1.1,20161116,9.8,2,20161101,,54.5
20170111,2.1,1,20161103,0.25,0.25,20161213,1.2,1.1,20161214,2.4,6.5,20161201,,54.4
20170210,1.1,0.2,20161215,0.25,0.25,20170117,1.6,1.4,20170118,-10.1,5,20170103,,53.3
20170310,-0.4,-0.5,20170202,0.25,0.25,20170214,1.8,1.9,20170215,-42.4,0.5,20170201,,55.9
20170407,-0.7,0.2,20170316,0.25,0.25,20170321,2.3,2.1,20170315,-11.3,,20170301,,55.8
20170511,-0.5,-0.4,20170511,0.25,0.25,20170411,2.3,2.3,20170412,25.5,,20170403,,55
20170609,0.2,0.7,20170615,0.25,0.25,20170516,2.7,2.6,20170517,19.4,,20170502,,54
20170707,-0.1,0.4,20170803,0.25,0.25,20170613,2.9,2.7,20170614,7.3,,20170601,,56.5
20170810,0.5,0.1,20170914,0.5,0.5,20170718,2.6,2.9,20170712,5.9,,20170703,,56.3
20170908,0.2,0.2,20171102,0.5,0.5,20170815,2.6,2.7,20170816,-4.2,,20170801,,54.5
20171010,0.2,0.2,20171214,0.5,0.5,20170912,2.9,2.8,20170913,-2.8,,20170901,,55
20171110,0.7,0.3,20180208,0.5,0.5,20171017,3,3,20171018,1.7,,20171002,,56.2
20171208,0,0,20180322,0.5,0.5,20171114,3,3.1,20171115,1.1,,20171101,,55.9
20180110,0.4,0.4,20180510,0.5,0.5,20171212,3.1,3,20171213,5.9,,20171201,,56.5
20180209,-1.3,-0.9,20180621,0.75,0.75,20180116,3,3,20180124,8.6,,20180102,,57.9
20180309,1.3,1.5,20180802,0.75,0.75,20180213,3,2.9,20180221,-7.2,,20180201,,56.5
20180411,0.1,0.4,20180913,0.75,0.75,20180320,2.7,2.8,20180321,9.2,,20180301,,55
20180510,0.1,0.2,20181101,0.75,0.75,20180418,2.5,2.7,20180417,11.6,,20180403,,54.7
20180611,-0.8,0.1,20181220,0.75,0.75,20180523,2.4,2.5,20180515,31.2,,20180501,,54.8
20180710,-0.4,0.5,20190207,0.75,0.75,20180613,2.4,2.4,20180612,-7.7,,20180601,,53.5
20180810,0.4,0.3,20190321,0.75,0.75,20180718,2.4,2.6,20180717,7.8,,20180702,,54
20180910,0.1,0.2,20190502,0.75,0.75,20180815,2.5,2.5,20180814,6.2,,20180801,,54.2
20181010,0.2,0.1,20190620,0.75,0.75,20180919,2.7,2.4,20180911,8.7,,20180903,,53.9
20181109,0,-0.1,20190801,0.75,0.75,20181017,2.4,2.6,20181016,18.5,,20181001,,52.5
20181210,-0.6,0.1,20190919,0.75,0.75,20181114,2.4,2.5,20181113,20.2,,20181101,,53
20190111,-0.4,0.2,20191107,0.75,0.75,20181219,2.3,2.3,20181211,21.9,,20181203,,51.7
20190211,-0.5,0.1,20191219,0.75,0.75,20190116,2.1,2.1,20190122,20.8,,20190102,,52.5
20190312,0.6,0.2,20200130,0.25,0.1,20190213,1.8,1.9,20190219,14.2,,20190201,,53.5
20190410,0.6,0.1,20200311,0.1,0.1,20190320,1.9,1.8,20190319,27,,20190301,,52
20190510,0.7,0.1,20200319,0.1,0.1,20190417,1.9,2,20190416,28.3,,20190401,,51.2
20190610,-2.7,-1,20200326,0.1,0.1,20190522,2.1,2.2,20190514,24.7,,20190501,,53.1
20190710,1.4,1.5,20200507,0.1,0.1,20190619,2,2,20190611,23.2,,20190603,,52.2
20190809,-0.1,-0.2,20200618,0.1,0.1,20190717,2,2,20190716,38,,20190701,,49.5
20190909,0.1,-0.3,20200806,0.1,0.1,20190814,2.1,1.9,20190813,28,,20190801,,47.6
20191010,-0.6,0.1,20200917,0.1,0.1,20190918,1.7,1.9,20190910,28.2,,20190902,,48.4
20191111,-0.3,-0.1,20201105,0.1,0.1,20191016,1.7,1.8,20191015,21.1,,20191001,,47
20191210,0.1,0.2,20201217,0.1,0.1,20191113,1.5,1.6,20191112,33,,20191101,,48.2
20200113,-1.2,0,20210204,0.1,0.1,20191218,1.5,1.4,20191217,28.8,,20191202,,48.3
20200211,0.1,0.3,20210318,0.1,0.1,20200115,1.3,1.5,20200121,14.9,,20200102,,47.6
20200311,-0.1,0.3,20210506,0.1,0.1,20200219,1.8,1.6,20200218,5.5,,20200203,,49.8
20200409,0.1,0.1,20210624,0.1,0.1,20200325,1.7,1.7,20200317,17.3,,20200302,,51.9
20200513,-4.2,-5.6,20210805,0.1,0.1,20200422,1.5,1.5,20200421,12.2,,20200401,,47
20200612,-20.3,-15,20210923,0.1,0.5,20200520,0.8,0.9,20200519,856.5,,20200501,,32.8
20200714,6,6.5,20211104,0.25,0.75,20200617,0.5,0.5,20200616,528.9,,20200601,,40.8
20200812,9.3,9,20211216,0.5,1,20200715,0.6,0.4,20200716,-28.1,,20200701,,50.1
20200911,5.2,4.1,20220203,0.75,1.25,20200819,1,0.6,20200811,94.4,,20200803,,53.6
20201009,0.3,2.5,20220317,1,1.75,20200916,0.2,0,20200915,73.7,,20200901,,55.3
20201112,0.5,1,20220505,1.25,2.25,20201021,0.5,0.6,20201013,28.1,,20201001,,54.3
20201210,1.3,0.3,20220616,1.75,3,20201118,0.7,0.5,20201110,-29.8,,20201102,,53.3
20210115,-0.1,0.5,20220804,2.25,3.5,20201216,0.3,0.6,20201215,64.3,,20201201,,55.2
20210212,0.2,0.5,20220922,3,4,20210120,0.6,0.5,20210126,7,,20210104,,57.3
20210312,-1.5,-1,20221103,3.5,4.25,20210217,0.7,0.6,20210223,-20,,20210201,,52.9
20210413,1,0.5,20221215,4,4.5,20210324,0.4,0.8,20210323,86.6,,20210301,,54.9
20210512,1.8,1,20230202,4.25,4.75,20210421,0.7,0.8,20210420,10.1,,20210401,,57.9
20210611,-1.3,1.2,20230323,4.5,5.25,20210519,1.5,1.5,20210518,-15.1,,20210504,,60.7
20210709,0.8,1.4,20230511,5,5.5,20210616,2.1,1.8,20210615,-92.6,,20210601,,66.1
20210812,-0.7,0.3,20230622,5.25,5.25,20210714,2.5,2.2,20210715,-114.75,,20210701,,64.2
20210910,1.2,0.4,20230803,5.25,5.25,20210818,2,2.3,20210817,-7.8,,20210802,,60.4
20211013,0.8,0.2,20230921,5.25,5.25,20210915,3.2,2.9,20210914,-58.6,,20210901,,60.1
20211111,-0.4,0.2,20231102,5.25,5.25,20211020,3.1,3.2,20211012,-51.1,,20211001,,56.3
20211210,-0.6,0.1,20231214,5.25,,20211117,4.2,3.9,20211116,-14.9,,20211101,,57.7
20220114,1,0.2,20240201,5.25,,20211215,5.1,4.8,20211214,-49.8,,20211201,,58.2
20220211,0.3,0.1,20240321,,,20220119,5.4,5.2,20220118,-43.3,,20220104,,57.6
20220311,0.7,0.1,,,,20220216,5.5,5.4,20220215,-31.9,,20220201,,56.9
20220411,-0.6,0.3,,,,20220323,6.2,6,20220315,-48.1,,20220301,,57.3
20220512,-0.2,0,,,,20220413,7,6.7,20220412,-46.9,,20220401,,55.5
20220613,-0.6,0.3,,,,20220518,9,9.1,20220517,-56.9,,20220503,,55.3
20220713,0.9,0,,,,20220622,9.1,9.1,20220614,-19.7,,20220601,,54.6
20220812,-0.9,-1.4,,,,20220720,9.4,9.3,20220719,-20,,20220701,,53.4
20220912,-0.3,0.3,,,,20220817,10.1,9.8,20220816,-10.6,,20220801,,52.2
20221012,-1.8,-0.1,,,,20220914,9.9,10,20220913,6.3,,20220901,,46
20221111,0.2,-0.3,,,,20221019,10.1,10,20221011,25.5,,20221003,,48.5
20221212,0,0,,,,20221116,11.1,10.7,20221115,3.3,,20221101,,45.8
20230113,-0.2,-0.2,,,,20221214,10.7,10.9,20221213,30.5,,20221201,,46.2
20230210,0.3,-0.2,,,,20230118,10.5,10.5,20230117,19.7,,20230103,,44.7
20230310,-0.3,0,,,,20230215,10.1,10.3,20230214,-12.9,,20230201,,46.7
20230413,-0.2,0.2,,,,20230322,10.4,9.9,20230314,-11.2,,20230301,,49.2
20230512,0.7,0.1,,,,20230419,10.1,9.8,20230418,28.2,,20230403,,48
20230614,-0.3,-0.1,,,,20230524,8.7,8.2,20230516,46.7,,20230502,,46.6
20230713,-0.6,-0.4,,,,20230621,8.7,8.4,20230613,-13.6,,20230601,,46.9
20230811,1.8,0.2,,,,20230719,7.9,8.2,20230711,25.7,,20230703,,46.2
20230913,-0.7,-0.7,,,,20230816,6.8,6.7,20230815,29,,20230801,,45
20231012,-0.7,-0.1,,,,20230920,6.7,7,20230912,0.9,,20230901,,42.5
20231110,0,0,,,,20231018,6.7,6.6,20231024,20.4,,20231002,,44.2
20231213,-0.8,-0.1,,,,20231115,4.6,4.7,20231114,17.8,,20231101,,45.2
20240112,0.3,0.3,,,,20231220,3.9,4.3,20231212,16,,20231201,,46.7
