INJCJC   Index,,,NFP TCH  Index,,,CPI CHNG Index,,,NAPMPMI  Index,,,CONSSENT Index,,,RSTAMOM Index,,,FDTR     Index,,
ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN
20100107,434,440,20100205,-20,15,20100219,0.2,0.3,20100201,58.4,55.5,20100129,74.4,73,20100212,0.5,0.3,20100127,0.25,0.25
20100114,444,437,20100305,-36,-68,20100318,0,0.1,20100301,56.5,57.9,20100226,73.6,73.9,20100312,0.3,-0.2,20100316,0.25,0.25
20100121,482,440,20100402,162,184,20100414,0.1,0.1,20100401,59.6,57,20100326,73.6,73,20100414,1.6,1.2,20100428,0.25,0.25
20100128,470,450,20100507,290,190,20100519,-0.1,0.1,20100503,60.4,60,20100430,72.2,71,20100514,0.4,0.2,20100623,0.25,0.25
20100204,480,455,20100604,431,536,20100617,-0.2,-0.2,20100601,59.7,59,20100528,73.6,73.3,20100611,-1.2,0.2,20100810,0.25,0.25
20100211,440,465,20100702,-125,-130,20100716,-0.1,-0.1,20100701,56.2,59,20100625,76,75.5,20100714,-0.5,-0.3,20100921,0.25,0.25
20100218,473,437.5,20100806,-131,-65,20100813,0.3,0.2,20100802,55.5,54.5,20100730,67.8,67,20100813,0.4,0.5,20101103,0.25,0.25
20100225,496,460,20100903,-54,-105,20100917,0.3,0.3,20100901,56.3,52.8,20100827,68.9,69.6,20100914,0.4,0.3,20101214,0.25,0.25
20100304,469,470,20101008,-95,-5,20101015,0.1,0.2,20101001,54.4,54.5,20101001,68.2,67,20101015,0.6,0.4,20110126,0.25,0.25
20100311,462,460,20101105,151,60,20101117,0.2,0.3,20101101,56.9,54,20101029,67.7,68,20101115,1.2,0.7,20110315,0.25,0.25
20100318,457,455,20101203,39,150,20101215,0.1,0.2,20101201,56.6,56.5,20101124,71.6,69,20101214,0.8,0.6,20110427,0.25,0.25
20100325,442,450,20110107,103,150,20110114,0.5,0.4,20110103,57,57,20101223,74.5,74.5,20110114,0.6,0.8,20110622,0.25,0.25
20100401,439,440,20110204,36,146,20110217,0.4,0.3,20110201,60.8,58,20110128,74.2,73.3,20110215,0.3,0.5,20110809,0.25,0.25
20100408,460,435,20110304,192,196,20110317,0.5,0.4,20110301,61.4,61,20110225,77.5,75.5,20110311,1,1,20110921,0.25,0.25
20100415,484,440,20110401,216,190,20110415,0.5,0.5,20110401,61.2,61.1,20110325,67.5,68,20110413,0.4,0.5,20111102,0,0.25
20100422,456,450,20110506,244,185,20110513,0.4,0.4,20110502,60.4,59.5,20110429,69.8,70,20110512,0.5,0.6,20111213,0.25,0.25
20100429,448,445,20110603,54,165,20110615,0.2,0.1,20110601,53.5,57.1,20110527,74.3,72.4,20110614,-0.2,-0.5,20120125,0.25,0.25
20100506,444,440,20110708,18,105,20110715,-0.2,-0.1,20110701,55.3,52,20110701,71.5,72,20110714,0.1,-0.1,20120313,0.25,0.25
20100513,444,440,20110805,117,85,20110818,0.5,0.2,20110801,50.9,54.5,20110729,63.7,64,20110812,0.5,0.5,20120425,0.25,0.25
20100520,471,440,20110902,0,68,20110915,0.4,0.2,20110901,50.6,48.5,20110826,55.7,55.8,20110914,0,0.2,20120620,0.25,0.25
20100527,460,455,20111007,103,60,20111019,0.3,0.3,20111003,51.6,50.5,20110930,59.4,57.8,20111014,1.1,0.7,20120801,0.25,0.25
20100603,453,455,20111104,80,95,20111116,-0.1,0,20111101,50.8,52,20111028,60.9,58,20111115,0.5,0.3,20120913,0.25,0.25
20100610,456,450,20111202,120,125,20111216,0,0.1,20111201,52.7,51.8,20111123,64.1,64.5,20111213,0.2,0.6,20121024,0.25,0.25
20100617,472,450,20120106,200,155,20120119,0,0.1,20120103,53.9,53.5,20111222,69.9,68,20120112,0.1,0.3,20121212,0.25,0.25
20100624,457,462.5,20120203,243,140,20120217,0.2,0.3,20120201,54.1,54.5,20120127,75,74,20120214,0.4,0.8,20130130,0.25,0.25
20100701,472,455,20120309,227,210,20120316,0.4,0.4,20120301,52.4,54.5,20120224,75.3,73,20120313,1.1,1.1,20130320,0.25,0.25
20100708,454,460,20120406,120,205,20120413,0.3,0.3,20120402,53.4,53,20120330,76.2,74.5,20120416,0.8,0.3,20130501,0.25,0.25
20100715,429,445,20120504,115,160,20120515,0,0,20120501,54.8,53,20120427,76.4,75.7,20120515,0.1,0.1,20130619,0.25,0.25
20100722,464,450,20120601,69,150,20120614,-0.3,-0.2,20120601,53.5,53.8,20120525,79.3,77.8,20120613,-0.2,-0.2,20130731,0.25,0.25
20100729,457,460,20120706,80,100,20120717,0,0,20120702,49.7,52,20120629,73.2,74.1,20120716,-0.5,0.2,20130918,0.25,0.25
20100805,479,455,20120803,163,100,20120815,0,0.2,20120801,49.8,50.2,20120727,72.3,72,20120814,0.8,0.3,20131030,0.25,0.25
20100812,484,465,20120907,96,130,20120914,0.6,0.6,20120904,49.6,50,20120831,74.3,73.6,20120914,0.9,0.8,20131218,0.25,0.25
20100819,500,478,20121005,114,115,20121016,0.6,0.5,20121001,51.5,49.7,20120928,78.3,79,20121015,1.1,0.8,20140129,0.25,0.25
20100826,473,490,20121102,171,125,20121115,0.1,0.1,20121101,51.7,51,20121026,82.6,83,20121114,-0.3,-0.2,20140319,0.25,0.25
20100902,472,475,20121207,146,85,20121214,-0.3,-0.2,20121203,49.5,51.4,20121121,82.7,84.5,20121213,0.3,0.5,20140430,0.25,0.25
20100909,451,470,20130104,155,152,20130116,0,0,20130102,50.7,50.5,20121221,72.9,75,20130115,0.5,0.2,20140618,0.25,0.25
20100916,450,459,20130201,157,165,20130221,0,0.1,20130201,53.1,50.7,20130201,73.8,71.5,20130213,0.1,0.1,20140730,0.25,0.25
20100923,465,450,20130308,236,165,20130315,0.7,0.5,20130301,54.2,52.5,20130301,77.6,76.3,20130313,1.1,0.5,20140917,0.25,0.25
20100930,453,460,20130405,88,190,20130416,-0.2,0,20130401,51.3,54,20130329,78.6,72.6,20130412,-0.4,0,20141029,0.25,0.25
20101007,445,455,20130503,165,140,20130516,-0.4,-0.3,20130501,50.7,50.5,20130426,76.4,73.5,20130513,0.1,-0.3,20141217,0.25,0.25
20101014,462,445,20130607,175,163,20130618,0.1,0.2,20130603,49,51,20130531,84.5,83.7,20130613,0.6,0.4,20150128,0.25,0.25
20101021,452,455,20130705,195,166,20130716,0.5,0.3,20130701,50.9,50.5,20130628,84.1,83,20130715,0.4,0.8,20150318,0.25,0.25
20101028,434,450,20130802,162,185,20130815,0.2,0.2,20130801,55.4,52,20130726,85.1,84,20130813,0.2,0.3,20150429,0.25,0.25
20101104,457,442,20130906,169,180,20130917,0.1,0.2,20130903,55.7,54,20130830,82.1,80.5,20130913,0.2,0.5,20150617,0.25,0.25
20101110,435,450,20131022,148,180,20131030,0.2,0.2,20131001,56.2,55,20130927,77.5,78,20131029,-0.1,0,20150729,0.25,0.25
20101118,439,440.5,20131108,204,120,20131120,-0.1,0,20131101,56.4,55,20131025,73.2,75,20131120,0.4,0.1,20150917,0.25,0.25
20101124,407,435,20131206,203,185,20131217,0,0.1,20131202,57.3,55.1,20131127,75.1,73.1,20131212,0.7,0.6,20151028,0.25,0.25
